R/theta	delta	nu
0.84986	399.285	0.0450784
0.887196	395.894	0.0452465
0.850237	403.37	0.0450948
0.86218	382.477	0.0453216
0.854083	403.763	0.0444454
0.856044	411.077	0.0452874
0.905162	383.729	0.0458266
0.861056	377.748	0.0453908
0.822427	408.412	0.0450522
0.834848	398.131	0.0453433
0.844691	394.277	0.0451448
0.815502	403.307	0.0448434
0.830994	404.389	0.0457148
0.857705	423.052	0.0454113
0.875762	408.206	0.0451257
0.873875	404.784	0.0448036
0.881713	413.288	0.0451147
0.860227	410.095	0.0453937
0.876742	413.373	0.0450212
0.878888	409.981	0.0455083
0.880315	399.297	0.0452801
0.863606	399.211	0.0450175
0.802545	423.173	0.0449339
0.853901	401.311	0.0451814
0.829698	412.505	0.0449538
0.829254	402.339	0.0454554
0.878394	396.834	0.0455164
0.945953	371.778	0.0449195
0.839602	389.633	0.0455848
0.830601	396.822	0.0461315
0.848033	402.8	0.0448424
0.911835	400.853	0.0451704
0.90232	398.699	0.0450456
0.862243	400.071	0.0451152
0.890514	402.058	0.0451426
0.840636	401.102	0.0449745
0.889651	411.757	0.0450332
0.884885	410.484	0.0451724
0.885903	383.346	0.0452335
0.775872	405.594	0.0449635
0.889736	406.676	0.0458643
0.808379	406.545	0.0453968
0.833448	383.898	0.0445103
0.828892	414.455	0.0456576
0.900504	386.633	0.0454905
0.843044	400.569	0.0451666
0.879978	405.902	0.0451686
0.775997	404.073	0.0453617
0.891204	402.825	0.0453234
0.863126	406.108	0.0453188
0.871186	405.408	0.0450037
0.849599	392.552	0.0453562
0.898173	390.242	0.0453687
0.830077	399.16	0.0451677
0.877185	414.482	0.0453095
0.861135	385.942	0.0449357
0.877176	411.178	0.0449382
0.87125	393.965	0.0453029
0.799319	411.572	0.0447272
0.842291	398.094	0.0450706
0.916313	389.321	0.0450405
0.851246	406.201	0.0446738
0.881052	417.416	0.0452489
0.836467	393.913	0.0449373
0.8659	399.6	0.0452918
0.823112	416.497	0.0453996
0.881263	386.34	0.0454506
0.923488	398.108	0.0447253
0.852133	411.274	0.0458491
0.876569	390.991	0.0450799
0.802491	393.162	0.0453537
0.865718	391.461	0.0450162
0.864723	400.157	0.0453707
0.853016	403.849	0.0453394
0.851969	402.878	0.0452419
0.872727	402.453	0.0452777
0.878469	398.403	0.0454136
0.859104	402.799	0.0451202
0.834686	389.112	0.0456556
0.838939	399.952	0.0447004
0.927844	391.767	0.0452946
0.854486	389.867	0.0450505
0.821183	416.343	0.0450447
0.863649	395.982	0.0455411
0.853865	384.339	0.0455757
0.920453	416.117	0.0450663
0.803831	420.21	0.0451925
0.852412	384.178	0.0454053
0.823418	408.65	0.0451694
0.793542	412.006	0.0450444
0.83414	399.485	0.0452879
0.874084	381.112	0.0454124
0.875208	426.153	0.0450842
0.866456	411.261	0.0455231
0.894302	398.717	0.0455127
0.86156	406.985	0.0451669
0.853365	390.068	0.0454691
0.852492	414.157	0.0449799
0.81205	396.176	0.0451329
0.835858	385.886	0.0451163
