Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.553399	0.00161052	190.157	343.616
1/delta	0.00267531	3.76198e-08	190.254	71114.5
nu	0.0721046	1.02824e-06	5056.29	70124.5
GA54827	3.04872e-06	1.88787e-12	4.9234	1.6149e+06
GA67073	9.39805e-06	5.82341e-12	15.1669	1.61384e+06
GA71389	4.26253e-06	2.63915e-12	6.88446	1.61511e+06
GA71621	7.94806e-06	4.93917e-12	12.7899	1.60919e+06
GA71663	1.22596e-06	7.59054e-13	1.98007	1.61512e+06
GA74349	1.22595e-06	7.59048e-13	1.98005	1.61512e+06
GA76006	1.83328e-06	1.1351e-12	2.96091	1.61509e+06
GA78317	3.65464e-06	2.26278e-12	5.90265	1.61511e+06
GA78869	1.09395e-05	6.77323e-12	17.6684	1.6151e+06
GA79872	1.23596e-06	7.66344e-13	1.99334	1.61279e+06
GA81213	1.83277e-06	1.13476e-12	2.96013	1.61512e+06
GA81566	6.19184e-07	3.83388e-13	1	1.61503e+06
GA83357	1.22603e-06	7.5911e-13	1.98014	1.61509e+06
GA83841	3.90738e-05	2.4352e-11	62.6956	1.60454e+06
GA83874	1.87222e-06	1.16447e-12	3.01012	1.60778e+06
GA87364	5.47613e-06	3.39056e-12	8.84456	1.61511e+06
GA87536	6.08454e-06	3.76726e-12	9.82719	1.61511e+06
GA87640	4.2589e-06	2.63691e-12	6.8786	1.61511e+06
GA87672	3.65593e-06	2.26364e-12	5.9046	1.61507e+06
GA87801	7.29604e-06	4.51737e-12	11.7839	1.61511e+06
GA87875	1.91709e-06	1.18925e-12	3.09037	1.61201e+06
GA91534	2.44094e-06	1.51131e-12	3.94239	1.61511e+06
GA91536	1.22642e-06	7.59337e-13	1.98081	1.61512e+06
NODE_24	6.19199e-07	3.83406e-13	1	1.615e+06
NODE_25	3.04759e-06	1.88692e-12	4.92221	1.61511e+06
NODE_27	1.22678e-06	7.59562e-13	1.98139	1.61512e+06
NODE_30	1.84582e-06	1.14657e-12	2.97152	1.60986e+06
NODE_31	3.04787e-06	1.88752e-12	4.92155	1.61475e+06
NODE_32	1.22646e-06	7.59362e-13	1.98087	1.61512e+06
NODE_33	6.19163e-07	3.83362e-13	1	1.61509e+06
NODE_34	2.44091e-06	1.51129e-12	3.94234	1.61511e+06
NODE_36	1.31422e-05	8.18751e-12	21.0951	1.60515e+06
NODE_37	4.90443e-05	3.07678e-11	78.1775	1.59402e+06
NODE_38	1.74734e-06	1.08293e-12	2.8194	1.61354e+06
NODE_41	3.04735e-06	1.88677e-12	4.92181	1.61511e+06
NODE_42	6.08448e-06	3.76879e-12	9.82302	1.61444e+06
