R/theta	delta	nu
0.625512	349.607	0.0725949
0.561959	342.591	0.0731411
0.583015	342.535	0.0716281
0.596149	375.919	0.0721036
0.512822	396.001	0.0712976
0.50037	369.039	0.0722811
0.565797	381.807	0.0717642
0.509479	410.246	0.0733409
0.487393	375.147	0.0740784
0.576309	375.311	0.0712323
0.638319	390.87	0.0732268
0.506736	364.945	0.0735534
0.436465	404.224	0.0696309
0.677004	377.422	0.0704495
0.609333	383.092	0.0720221
0.553256	407.01	0.0727342
0.631461	354.953	0.0722048
0.581303	384.871	0.0712957
0.504445	371.114	0.0709206
0.544921	357.676	0.073229
0.622844	370.496	0.0693324
0.555435	338.34	0.0713096
0.550728	373.996	0.0720836
0.483444	415.606	0.0687231
0.575701	368.956	0.0707347
0.493831	418.972	0.0731217
0.577579	378.536	0.0716627
0.612168	362.414	0.0711435
0.504257	357.027	0.0695403
0.59368	366.374	0.0712694
0.489999	359.804	0.0727345
0.568082	376.024	0.0715848
0.536232	395.847	0.0726312
0.572394	430.695	0.0730262
0.491967	427.68	0.071859
0.616632	367.684	0.0717224
0.568599	394.576	0.0735643
0.642298	357.32	0.0734005
0.577034	373.807	0.07296
0.548408	340.946	0.0698572
0.57856	368.117	0.0715729
0.611645	400.626	0.073224
0.512453	344.671	0.0712747
0.541965	368.99	0.0724214
0.57503	380.945	0.0722152
0.696871	322.976	0.0737009
0.575801	398.623	0.0718261
0.646372	423.139	0.0723264
0.531892	328.938	0.072369
0.530619	345.954	0.0719242
0.502402	400.208	0.073161
0.54558	319.284	0.0728092
0.565104	361.435	0.0734908
0.584024	331.542	0.0709316
0.617644	353.146	0.0712891
0.537657	379.982	0.073323
0.566843	325.217	0.0735501
0.577228	356.073	0.0728884
0.475779	434.734	0.0733763
0.495751	401.915	0.0713288
0.613213	332.526	0.0732934
0.530258	388.756	0.0722331
0.497625	413.906	0.0706432
0.537016	358.263	0.0724952
0.541473	386.093	0.0706238
0.559962	366.645	0.0699018
0.571597	323.805	0.0723531
0.555438	402.022	0.0712534
0.556136	382.417	0.0706996
0.5676	405.324	0.0722592
0.587856	440.868	0.0751565
0.553178	333.909	0.0728331
0.547016	338.516	0.0714472
0.491162	405.54	0.0707656
0.498089	347.596	0.0710868
0.568744	365.78	0.0741084
0.597721	379.095	0.0710291
0.545422	398.828	0.0725993
0.561349	367.372	0.0697613
0.505843	427.481	0.0710308
0.534236	380.628	0.070854
0.477644	350.259	0.0718319
0.530473	347.434	0.0707572
0.608127	367.046	0.0720357
0.470845	334.908	0.0724335
0.535931	356.759	0.0717752
0.654623	380.308	0.073187
0.52805	379.609	0.0717576
0.543015	405.948	0.0708959
0.623139	368.197	0.0732866
0.643253	352.427	0.071765
0.552164	341.955	0.0705764
0.665924	349.819	0.073217
0.553491	350.79	0.0719997
0.624523	372.742	0.0706169
0.600121	405.748	0.0699478
0.576623	342.315	0.0705366
0.551613	384.637	0.0726526
0.557853	350.948	0.0715875
0.601508	381.128	0.071112
