accession	reason
ERX007831	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (9428390 bp) filter, expected > 74407840 bp
ERX2009040	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009049	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009050	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009051	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009041	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009042	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009043	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009044	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009045	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009046	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009047	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009048	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (11730 bp) filter, expected > 74407840 bp
ERX007834	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (4816200 bp) filter, expected > 74407840 bp
ERX2009076	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009085	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (47605515 bp) filter, expected > 74407840 bp
ERX2009086	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (39494565 bp) filter, expected > 74407840 bp
ERX2009087	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (93150 bp) filter, expected > 74407840 bp
ERX2009077	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (66570740 bp) filter, expected > 74407840 bp
ERX2009079	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (65035720 bp) filter, expected > 74407840 bp
ERX2009080	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009081	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009082	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (64807445 bp) filter, expected > 74407840 bp
ERX2009083	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009084	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009073	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (36666945 bp) filter, expected > 74407840 bp
ERX2009074	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (60640995 bp) filter, expected > 74407840 bp
ERX2009075	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (64456465 bp) filter, expected > 74407840 bp
ERX2009072	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (56606910 bp) filter, expected > 74407840 bp
ERX2009052	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009063	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (54065180 bp) filter, expected > 74407840 bp
ERX2009054	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (55872750 bp) filter, expected > 74407840 bp
ERX2009055	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009056	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (65171880 bp) filter, expected > 74407840 bp
ERX007835	Failed mean read length (57 bp) filter, expected > 75 bp;Failed base count (13817250 bp) filter, expected > 74407840 bp
ERX2009088	Failed mean read length (57 bp) filter, expected > 75 bp
ERX2009097	Failed mean read length (57 bp) filter, expected > 75 bp
