sample	st	is_georgia	is_c1	is_c2	is_ani_cutoffinclusion_reason
GA52847	422	True	False	False	False	Georgia sample
GA52964	34	True	False	False	False	Georgia sample
GA54125	652	True	False	False	False	Georgia sample
GA54569	819	True	False	False	False	Georgia sample
GA54617	349	True	False	False	False	Georgia sample
GA54827	1714	True	False	True	True	Georgia sample
GA56108	161	True	False	False	False	Georgia sample
GA56214	349	True	False	False	False	Georgia sample
GA56273	139	True	False	False	False	Georgia sample
GA56558	159	True	False	False	False	Georgia sample
GA56638	155	True	False	False	False	Georgia sample
GA56663	11	True	False	False	False	Georgia sample
GA56793	388	True	False	False	False	Georgia sample
GA56932	134	True	False	False	False	Georgia sample
GA56981	46	True	False	False	False	Georgia sample
GA58200	3	True	False	False	False	Georgia sample
GA58625	425	True	False	False	False	Georgia sample
GA58694	160	True	False	False	False	Georgia sample
GA58697	423	True	False	False	False	Georgia sample
GA58830	149	True	False	False	False	Georgia sample
GA58945	411	True	False	False	False	Georgia sample
GA60046	1076	True	False	False	False	Georgia sample
GA60063	349	True	False	False	False	Georgia sample
GA60153	143	True	False	False	False	Georgia sample
GA60320	243	True	False	False	False	Georgia sample
GA60397	139	True	False	False	False	Georgia sample
GA60421	105	True	False	False	False	Georgia sample
GA60512	148	True	False	False	False	Georgia sample
GA60522	121	True	False	False	False	Georgia sample
GA60629	143	True	False	False	False	Georgia sample
GA60746	11	True	False	False	False	Georgia sample
GA60748	164	True	True	False	True	Georgia sample
GA60929	143	True	False	False	False	Georgia sample
GA62012	84	True	False	False	False	Georgia sample
GA62175	436	True	False	False	False	Georgia sample
GA62624	836	True	False	False	False	Georgia sample
GA62635	57	True	False	False	False	Georgia sample
GA64005	14	True	False	False	False	Georgia sample
GA64079	436	True	False	False	False	Georgia sample
GA64371	11	True	False	False	False	Georgia sample
GA64488	3	True	False	False	False	Georgia sample
GA64938	807	True	False	False	False	Georgia sample
GA64949	14	True	False	False	False	Georgia sample
GA67009	103	True	False	False	False	Georgia sample
GA67057	245	True	False	False	False	Georgia sample
GA67073	1714	True	False	True	True	Georgia sample
GA67098	41	True	False	False	False	Georgia sample
GA67187	14	True	False	False	False	Georgia sample
GA67238	388	True	False	False	False	Georgia sample
GA67324	103	True	False	False	False	Georgia sample
GA67536	160	True	False	False	False	Georgia sample
GA67633	146	True	False	False	False	Georgia sample
GA67735	41	True	False	False	False	Georgia sample
GA67737	43	True	False	False	False	Georgia sample
GA67780	147	True	False	False	False	Georgia sample
GA67852	159	True	False	False	False	Georgia sample
GA67928	103	True	False	False	False	Georgia sample
GA71389	1714	True	False	True	True	Georgia sample
GA71390	159	True	False	False	False	Georgia sample
GA71438	266	True	False	False	False	Georgia sample
GA71621	1714	True	False	True	True	Georgia sample
