gene_family	percent_all	percent_c1	percent_c2	percent_neither	info	product	c1_samples	c2_camples	neither_samples	clusters
g00730	100.00	100.00	100.00	0	both	glycine--tRNA ligase subunit beta(49)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_00366,GA60748_00432,GA67073_00367,GA71389_00367,GA71621_00367,GA71663_00366,GA74349_00367,GA76006_00218,GA78317_00793,GA78869_00367,GA79872_00357,GA81213_00216,GA81566_00099,GA81665_00434,GA81666_00434,GA83348_00434,GA83349_00462,GA83357_00359,GA83431_00228,GA83447_00189,GA83469_00223,GA83571_00434,GA83705_00434,GA83706_00577,GA83841_00361,GA83842A_00228,GA83842B_00434,GA83874_00550,GA83882_00228,GA87003_00434,GA87176_00434,GA87262_00434,GA87363_00451,GA87364_00357,GA87424_00228,GA87536_00602,GA87620_00228,GA87639_00227,GA87640_00358,GA87672_00794,GA87697_00435,GA87801_00651,GA87875_00308,GA91113_00818,GA91241_00452,GA91506_00228,GA91534_00219,GA91536_00218,GA95071_00178
g00998	100.00	100.00	100.00	0	both	DNA polymerase III subunit delta(49)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_00367,GA60748_00438,GA67073_00368,GA71389_00368,GA71621_00368,GA71663_00367,GA74349_00368,GA76006_00219,GA78317_00794,GA78869_00368,GA79872_00358,GA81213_00217,GA81566_00100,GA81665_00440,GA81666_00440,GA83348_00440,GA83349_00468,GA83357_00360,GA83431_00234,GA83447_00195,GA83469_00229,GA83571_00440,GA83705_00440,GA83706_00583,GA83841_00362,GA83842A_00234,GA83842B_00440,GA83874_00551,GA83882_00234,GA87003_00440,GA87176_00440,GA87262_00440,GA87363_00457,GA87364_00358,GA87424_00234,GA87536_00603,GA87620_00234,GA87639_00233,GA87640_00359,GA87672_00795,GA87697_00441,GA87801_00652,GA87875_00309,GA91113_00824,GA91241_00458,GA91506_00234,GA91534_00220,GA91536_00219,GA95071_00184
g00990	100.00	100.00	100.00	0	both	hypothetical protein(49)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_00368,GA60748_00439,GA67073_00369,GA71389_00369,GA71621_00369,GA71663_00368,GA74349_00369,GA76006_00220,GA78317_00795,GA78869_00369,GA79872_00359,GA81213_00218,GA81566_00101,GA81665_00441,GA81666_00441,GA83348_00441,GA83349_00469,GA83357_00361,GA83431_00235,GA83447_00196,GA83469_00230,GA83571_00441,GA83705_00441,GA83706_00584,GA83841_00363,GA83842A_00235,GA83842B_00441,GA83874_00552,GA83882_00235,GA87003_00441,GA87176_00441,GA87262_00441,GA87363_00458,GA87364_00359,GA87424_00235,GA87536_00604,GA87620_00235,GA87639_00234,GA87640_00360,GA87672_00796,GA87697_00442,GA87801_00653,GA87875_00310,GA91113_00825,GA91241_00459,GA91506_00235,GA91534_00221,GA91536_00220,GA95071_00185
g01039	100.00	100.00	100.00	0	both	leucine--tRNA ligase(49)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_00369,GA60748_00440,GA67073_00370,GA71389_00370,GA71621_00370,GA71663_00369,GA74349_00370,GA76006_00221,GA78317_00796,GA78869_00370,GA79872_00360,GA81213_00219,GA81566_00102,GA81665_00442,GA81666_00442,GA83348_00442,GA83349_00470,GA83357_00362,GA83431_00236,GA83447_00197,GA83469_00231,GA83571_00442,GA83705_00442,GA83706_00585,GA83841_00364,GA83842A_00236,GA83842B_00442,GA83874_00553,GA83882_00236,GA87003_00442,GA87176_00442,GA87262_00442,GA87363_00459,GA87364_00360,GA87424_00236,GA87536_00605,GA87620_00236,GA87639_00235,GA87640_00361,GA87672_00797,GA87697_00443,GA87801_00654,GA87875_00311,GA91113_00826,GA91241_00460,GA91506_00236,GA91534_00222,GA91536_00221,GA95071_00186
g00624	100.00	100.00	100.00	0	both	di-trans%2Cpoly-cis-decaprenylcistransferase(49)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_00370,GA60748_00441,GA67073_00371,GA71389_00371,GA71621_00371,GA71663_00370,GA74349_00371,GA76006_00222,GA78317_00797,GA78869_00371,GA79872_00361,GA81213_00220,GA81566_00103,GA81665_00443,GA81666_00443,GA83348_00443,GA83349_00471,GA83357_00363,GA83431_00237,GA83447_00198,GA83469_00232,GA83571_00443,GA83705_00443,GA83706_00586,GA83841_00365,GA83842A_00237,GA83842B_00443,GA83874_00554,GA83882_00237,GA87003_00443,GA87176_00443,GA87262_00443,GA87363_00460,GA87364_00361,GA87424_00237,GA87536_00606,GA87620_00237,GA87639_00236,GA87640_00362,GA87672_00798,GA87697_00444,GA87801_00655,GA87875_00312,GA91113_00827,GA91241_00461,GA91506_00237,GA91534_00223,GA91536_00222,GA95071_00187
g00714	100.00	100.00	100.00	0	both	phosphatidate cytidylyltransferase(49)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_00371,GA60748_00442,GA67073_00372,GA71389_00372,GA71621_00372,GA71663_00371,GA74349_00372,GA76006_00223,GA78317_00798,GA78869_00372,GA79872_00362,GA81213_00221,GA81566_00104,GA81665_00444,GA81666_00444,GA83348_00444,GA83349_00472,GA83357_00364,GA83431_00238,GA83447_00199,GA83469_00233,GA83571_00444,GA83705_00444,GA83706_00587,GA83841_00366,GA83842A_00238,GA83842B_00444,GA83874_00555,GA83882_00238,GA87003_00444,GA87176_00444,GA87262_00444,GA87363_00461,GA87364_00362,GA87424_00238,GA87536_00607,GA87620_00238,GA87639_00237,GA87640_00363,GA87672_00799,GA87697_00445,GA87801_00656,GA87875_00313,GA91113_00828,GA91241_00462,GA91506_00238,GA91534_00224,GA91536_00223,GA95071_00188
g00989	100.00	100.00	100.00	0	both	sigma E protease regulator RseP(49)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_00372,GA60748_00443,GA67073_00373,GA71389_00373,GA71621_00373,GA71663_00372,GA74349_00373,GA76006_00224,GA78317_00799,GA78869_00373,GA79872_00363,GA81213_00222,GA81566_00105,GA81665_00445,GA81666_00445,GA83348_00445,GA83349_00473,GA83357_00365,GA83431_00239,GA83447_00200,GA83469_00234,GA83571_00445,GA83705_00445,GA83706_00588,GA83841_00367,GA83842A_00239,GA83842B_00445,GA83874_00556,GA83882_00239,GA87003_00445,GA87176_00445,GA87262_00445,GA87363_00462,GA87364_00363,GA87424_00239,GA87536_00608,GA87620_00239,GA87639_00238,GA87640_00364,GA87672_00800,GA87697_00446,GA87801_00657,GA87875_00314,GA91113_00829,GA91241_00463,GA91506_00239,GA91534_00225,GA91536_00224,GA95071_00189
g01162	100.00	100.00	100.00	0	both	outer membrane protein assembly factor BamA(49)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_00373,GA60748_00444,GA67073_00374,GA71389_00374,GA71621_00374,GA71663_00373,GA74349_00374,GA76006_00225,GA78317_00800,GA78869_00374,GA79872_00364,GA81213_00223,GA81566_00106,GA81665_00446,GA81666_00446,GA83348_00446,GA83349_00474,GA83357_00366,GA83431_00240,GA83447_00201,GA83469_00235,GA83571_00446,GA83705_00446,GA83706_00589,GA83841_00368,GA83842A_00240,GA83842B_00446,GA83874_00557,GA83882_00240,GA87003_00446,GA87176_00446,GA87262_00446,GA87363_00463,GA87364_00364,GA87424_00240,GA87536_00609,GA87620_00240,GA87639_00239,GA87640_00365,GA87672_00801,GA87697_00447,GA87801_00658,GA87875_00315,GA91113_00830,GA91241_00464,GA91506_00240,GA91534_00226,GA91536_00225,GA95071_00190
g01165	100.00	100.00	100.00	0	both	OmpH family outer membrane protein(49)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_00374,GA60748_00445,GA67073_00375,GA71389_00375,GA71621_00375,GA71663_00374,GA74349_00375,GA76006_00226,GA78317_00801,GA78869_00375,GA79872_00365,GA81213_00224,GA81566_00107,GA81665_00447,GA81666_00447,GA83348_00447,GA83349_00475,GA83357_00367,GA83431_00241,GA83447_00202,GA83469_00236,GA83571_00447,GA83705_00447,GA83706_00590,GA83841_00369,GA83842A_00241,GA83842B_00447,GA83874_00558,GA83882_00241,GA87003_00447,GA87176_00447,GA87262_00447,GA87363_00464,GA87364_00365,GA87424_00241,GA87536_00610,GA87620_00241,GA87639_00240,GA87640_00366,GA87672_00802,GA87697_00448,GA87801_00659,GA87875_00316,GA91113_00831,GA91241_00465,GA91506_00241,GA91534_00227,GA91536_00226,GA95071_00191
g00932	100.00	100.00	100.00	0	both	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase(49)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_00375,GA60748_00446,GA67073_00376,GA71389_00376,GA71621_00376,GA71663_00375,GA74349_00376,GA76006_00227,GA78317_00802,GA78869_00376,GA79872_00366,GA81213_00225,GA81566_00108,GA81665_00448,GA81666_00448,GA83348_00448,GA83349_00476,GA83357_00368,GA83431_00242,GA83447_00203,GA83469_00237,GA83571_00448,GA83705_00448,GA83706_00591,GA83841_00370,GA83842A_00242,GA83842B_00448,GA83874_00559,GA83882_00242,GA87003_00448,GA87176_00448,GA87262_00448,GA87363_00465,GA87364_00366,GA87424_00242,GA87536_00611,GA87620_00242,GA87639_00241,GA87640_00367,GA87672_00803,GA87697_00449,GA87801_00660,GA87875_00317,GA91113_00832,GA91241_00466,GA91506_00242,GA91534_00228,GA91536_00227,GA95071_00192
g01069	100.00	100.00	100.00	0	both	elongation factor Ts(49)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_00376,GA60748_00447,GA67073_00377,GA71389_00377,GA71621_00377,GA71663_00376,GA74349_00377,GA76006_00228,GA78317_00803,GA78869_00377,GA79872_00367,GA81213_00226,GA81566_00109,GA81665_00449,GA81666_00449,GA83348_00449,GA83349_00477,GA83357_00369,GA83431_00243,GA83447_00204,GA83469_00238,GA83571_00449,GA83705_00449,GA83706_00592,GA83841_00371,GA83842A_00243,GA83842B_00449,GA83874_00560,GA83882_00243,GA87003_00449,GA87176_00449,GA87262_00449,GA87363_00466,GA87364_00367,GA87424_00243,GA87536_00612,GA87620_00243,GA87639_00242,GA87640_00368,GA87672_00804,GA87697_00450,GA87801_00661,GA87875_00318,GA91113_00833,GA91241_00467,GA91506_00243,GA91534_00229,GA91536_00228,GA95071_00193
