sample	cluster	assembled	match	pct_id	ctg_cov	known_var	novel_var
DRX014156	LpsA	yes	yes	93.51	23.6	no	yes
DRX014156	Pasteurella_multocida_16S	yes	yes	95.05	532.0	no	yes
DRX014156	hmrM	yes	yes	98.49	40.9	no	yes
DRX014157	LpsA	yes	yes	98.31	47.8	no	yes
DRX014157	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	453.5	no	yes
DRX014157	hmrM	yes	yes	97.49	50.7	no	yes
DRX014158	Pasteurella_multocida_16S	yes_nonunique	yes	95.43	360.7	no	yes
DRX014158	hmrM	yes	yes	98.06	43.6	no	yes
DRX014159	LpsA	yes	yes	99.61	59.5	no	no
DRX014159	hmrM	yes	yes	99.93	54.8	no	yes
DRX014160	LpsA	yes	yes	100.0	42.1	no	no
DRX014160	Pasteurella_multocida_16S	yes	yes	95.69	442.5	no	yes
DRX014160	hmrM	yes	yes	99.71	51.8	no	yes
DRX014161	Haemophilus_influenzae_PBP3	yes	yes	96.45	52.4	yes	yes
DRX014161	Pasteurella_multocida_16S	yes_nonunique	yes	95.17	431.6	no	yes
DRX014161	hmrM	yes	yes	98.21	51.0	no	yes
DRX014253	Haemophilus_influenzae_PBP3	yes	yes	96.34	45.4	yes	yes
DRX014253	LpsA	yes	yes	95.46	36.2	no	yes
DRX014253	Pasteurella_multocida_16S	yes_nonunique	yes	94.47	481.7	no	yes
DRX014253	hmrM	yes	yes	98.14	48.4	no	yes
DRX014438	LpsA	yes	yes	93.51	25.2	no	yes
DRX014438	Pasteurella_multocida_16S	yes	yes	95.05	371.2	no	yes
DRX014438	hmrM	yes	yes	98.49	47.7	no	yes
DRX225218	LpsA	yes	yes	99.61	30.8	no	no
DRX225218	Pasteurella_multocida_16S	yes_nonunique	yes	95.75	400.5	no	yes
DRX225218	hmrM	yes	yes	94.55	32.0	no	yes
DRX233551	Haemophilus_influenzae_PBP3	yes	yes	97.71	66.4	yes	yes
DRX233551	LpsA	yes	yes	99.61	54.9	no	no
DRX233551	Pasteurella_multocida_16S	yes_nonunique	yes	95.69	373.4	no	yes
DRX233551	hmrM	yes	yes	94.34	29.0	no	yes
ERX101202	LpsA	yes	yes	98.44	50.8	no	yes
ERX101202	hmrM	yes	yes	94.48	26.0	no	yes
ERX101203	LpsA	yes	yes	98.05	55.3	no	yes
ERX101203	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	367.4	no	yes
ERX101203	hmrM	yes	yes	94.48	28.6	no	yes
ERX101204	Pasteurella_multocida_16S	yes_nonunique	yes	95.43	381.9	no	yes
ERX101204	hmrM	yes	yes	94.48	28.0	no	yes
ERX101205	LpsA	yes	yes	94.03	25.9	no	yes
ERX101205	Pasteurella_multocida_16S	yes_nonunique	yes	95.3	394.1	no	yes
ERX101205	hmrM	yes	yes	94.48	23.6	no	yes
ERX101206	LpsA	yes	yes	94.03	19.0	no	yes
ERX101206	Pasteurella_multocida_16S	yes_nonunique	yes	95.43	345.6	no	yes
ERX101206	hmrM	yes	yes	94.27	29.1	no	yes
ERX101207	Pasteurella_multocida_16S	yes_nonunique	yes	95.62	387.1	no	yes
ERX101207	hmrM	yes	yes	96.77	48.4	no	yes
ERX101208	Pasteurella_multocida_16S	yes_nonunique	yes	95.36	391.3	no	yes
ERX101208	hmrM	yes	yes	98.35	61.7	no	yes
ERX101209	Pasteurella_multocida_16S	yes_nonunique	yes	95.55	325.8	no	yes
ERX101209	hmrM	yes	yes	94.55	26.2	no	yes
ERX101210	LpsA	yes	yes	96.28	38.5	no	yes
ERX101210	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	353.5	no	yes
ERX101210	hmrM	yes	yes	94.48	24.7	no	yes
ERX101211	Pasteurella_multocida_16S	yes_nonunique	yes	95.62	417.6	no	yes
ERX101211	hmrM	yes	yes	96.77	50.5	no	yes
ERX101212	LpsA	yes	yes	94.05	20.0	no	yes
ERX101212	Pasteurella_multocida_16S	yes	yes	95.43	281.0	no	yes
ERX101212	hmrM	yes	yes	94.62	29.0	no	yes
ERX101213	LpsA	yes	yes	94.03	22.2	no	yes
ERX101213	Pasteurella_multocida_16S	yes_nonunique	yes	95.44	358.6	no	yes
ERX101213	hmrM	yes	yes	94.48	24.5	no	yes
ERX101214	LpsA	yes	yes	94.03	22.2	no	yes
ERX101214	Pasteurella_multocida_16S	yes	yes	95.43	305.7	no	yes
ERX101214	hmrM	yes	yes	94.48	24.7	no	yes
ERX101215	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	305.4	no	yes
ERX101215	hmrM	yes	yes	94.55	31.8	no	yes
ERX101216	APH_3___Ia	yes	yes	100.0	63.8	no	no
ERX101216	LpsA	yes	yes	99.35	51.4	no	yes
ERX101216	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	372.2	no	yes
ERX101216	TEM_-	yes_nonunique	yes	99.77	125.8	no	yes
ERX101216	hmrM	yes	yes	94.48	25.2	no	yes
ERX101216	tet_B_	yes	yes	99.75	68.2	no	yes
ERX101217	LpsA	yes	yes	99.48	54.8	no	yes
ERX101217	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	347.6	no	yes
ERX101217	hmrM	yes	yes	94.34	29.4	no	yes
ERX101218	LpsA	yes	yes	98.44	58.1	no	yes
ERX101218	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	373.9	no	yes
ERX101218	hmrM	yes	yes	99.93	75.5	no	yes
ERX101219	LpsA	yes	yes	99.48	50.8	no	yes
ERX101219	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	383.2	no	yes
ERX101219	hmrM	yes	yes	94.34	23.9	no	yes
ERX101220	LpsA	yes	yes	99.22	62.2	no	yes
ERX101220	Pasteurella_multocida_16S	yes_nonunique	yes	95.48	396.1	no	yes
ERX101220	TEM_-	yes	yes	99.88	56.5	no	yes
ERX101220	hmrM	yes	yes	94.48	29.3	no	yes
ERX101221	LpsA	yes	yes	99.35	66.0	no	yes
ERX101221	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	360.9	no	yes
ERX101221	hmrM	yes	yes	94.48	26.3	no	yes
ERX101222	LpsA	yes	yes	98.18	73.3	no	yes
ERX101222	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	317.0	no	yes
ERX101222	hmrM	yes	yes	100.0	74.6	no	no
ERX101223	Haemophilus_influenzae_PBP3	yes	yes	96.67	47.8	yes	yes
ERX101223	Pasteurella_multocida_16S	yes	yes	95.62	279.3	no	yes
ERX101223	hmrM	yes	yes	96.34	45.3	no	yes
ERX101224	LpsA	yes	yes	99.48	60.8	no	yes
ERX101224	Pasteurella_multocida_16S	yes_nonunique	yes	95.62	377.0	no	yes
ERX101224	TEM_-	yes	yes	99.88	51.2	no	yes
ERX101224	hmrM	yes	yes	94.7	26.0	no	yes
ERX101225	LpsA	yes	yes	99.22	70.5	no	yes
ERX101225	Pasteurella_multocida_16S	yes_nonunique	yes	95.49	352.1	no	yes
ERX101225	TEM_-	yes	yes	99.88	52.3	no	yes
ERX101225	hmrM	yes	yes	94.48	26.3	no	yes
ERX101226	LpsA	yes	yes	99.35	45.3	no	yes
