Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.849993	0.000380086	1900.85	2236.32
1/delta	0.00248781	3.25753e-09	1899.96	763710
nu	0.0452019	5.92639e-08	34476.4	762722
GA54827	3.09942e-06	1.98619e-12	4.83659	1.56048e+06
GA60748	4.96323e-06	3.18034e-12	7.7456	1.5606e+06
GA67073	6.72221e-06	4.31316e-12	10.4768	1.55854e+06
GA71389	4.3281e-06	2.77314e-12	6.75494	1.56072e+06
GA71621	8.06686e-06	5.18924e-12	12.5402	1.55454e+06
GA71663	1.25439e-06	8.0372e-13	1.95777	1.56073e+06
GA74349	1.25436e-06	8.03699e-13	1.95772	1.56073e+06
GA76006	1.86928e-06	1.19769e-12	2.91744	1.56073e+06
GA78317	3.71204e-06	2.37848e-12	5.7933	1.56068e+06
GA78869	1.10824e-05	7.10099e-12	17.2962	1.56069e+06
GA79872	1.25841e-06	8.07553e-13	1.96098	1.5583e+06
GA81213	1.86824e-06	1.19703e-12	2.91581	1.56073e+06
GA81566	2.48348e-06	1.59123e-12	3.87603	1.56073e+06
GA81665	1.25551e-06	8.04437e-13	1.95952	1.56073e+06
GA83357	3.09725e-06	1.9845e-12	4.83396	1.56072e+06
GA83469	3.09871e-06	1.98654e-12	4.83353	1.55985e+06
GA83571	6.40769e-07	4.10583e-13	1	1.56063e+06
GA83706	1.87106e-06	1.19891e-12	2.92005	1.56064e+06
GA83841	2.9963e-05	1.93572e-11	46.3797	1.5479e+06
GA83874	1.26342e-06	8.13523e-13	1.96213	1.55303e+06
GA83882	1.25589e-06	8.04679e-13	1.96011	1.56073e+06
GA87003	1.25568e-06	8.04546e-13	1.95978	1.56073e+06
GA87364	3.71354e-06	2.37938e-12	5.79581	1.56072e+06
GA87424	1.25546e-06	8.04402e-13	1.95943	1.56073e+06
GA87536	5.55685e-06	3.56045e-12	8.67265	1.56071e+06
GA87639	6.43156e-07	4.12128e-13	1.00369	1.56057e+06
GA87640	4.25821e-06	2.72838e-12	6.64582	1.56071e+06
GA87672	3.71411e-06	2.37982e-12	5.79649	1.56067e+06
GA87801	6.78389e-06	4.34667e-12	10.5877	1.56071e+06
GA87875	1.87831e-06	1.20609e-12	2.92519	1.55735e+06
GA91113	1.25562e-06	8.04504e-13	1.95968	1.56073e+06
GA91241	1.86806e-06	1.19695e-12	2.91545	1.56069e+06
GA91506	1.25506e-06	8.04174e-13	1.95875	1.56068e+06
GA91534	2.48437e-06	1.5918e-12	3.87742	1.56073e+06
GA91536	1.25523e-06	8.04255e-13	1.95907	1.56073e+06
GA95071	3.55999e-06	2.29621e-12	5.51931	1.55037e+06
NODE_50	6.40771e-07	4.10586e-13	1	1.56063e+06
NODE_51	6.40866e-07	4.10708e-13	1	1.5604e+06
NODE_54	6.40746e-07	4.10555e-13	1	1.56068e+06
NODE_55	6.41223e-07	4.10874e-13	1.00071	1.56063e+06
NODE_57	6.40743e-07	4.10551e-13	1	1.56069e+06
NODE_58	1.25568e-06	8.04546e-13	1.95978	1.56073e+06
NODE_59	6.40744e-07	4.10552e-13	1	1.56069e+06
NODE_60	1.8711e-06	1.19886e-12	2.92029	1.56073e+06
NODE_65	1.25597e-06	8.04733e-13	1.96024	1.56073e+06
NODE_68	6.40743e-07	4.10551e-13	1	1.56069e+06
NODE_71	1.25539e-06	8.05109e-13	1.9575	1.55928e+06
NODE_72	9.70307e-05	6.63338e-11	141.933	1.46276e+06
NODE_73	7.75938e-05	5.25178e-11	114.643	1.47748e+06
NODE_74	0.0015166	1.413e-09	1627.79	1.07332e+06
NODE_77	1.25601e-06	8.0476e-13	1.9603	1.56073e+06
NODE_78	6.40743e-07	4.10551e-13	1	1.56069e+06
NODE_81	1.25883e-06	8.09447e-13	1.95769	1.55517e+06
NODE_82	3.09822e-06	1.9856e-12	4.8343	1.56035e+06
NODE_84	1.25528e-06	8.04286e-13	1.95915	1.56073e+06
NODE_85	2.48453e-06	1.59191e-12	3.87768	1.56073e+06
NODE_87	9.54743e-06	6.15309e-12	14.8142	1.55165e+06
NODE_88	2.95911e-05	1.90931e-11	45.8612	1.54983e+06
NODE_89	2.79774e-05	1.80996e-11	43.246	1.54574e+06
NODE_90	6.43754e-07	4.13239e-13	1.00286	1.55783e+06
NODE_93	3.09749e-06	1.98465e-12	4.83432	1.56072e+06
NODE_94	6.16919e-06	3.9545e-12	9.6242	1.56004e+06
