sample_name	APH_3___Ia	APH_3____Ib	APH_6__Id	Haemophilus_influenzae_PBP3	LpsA	Moraxella_catarrhalis_23S	Neisseria_-	Neisseria_gonorrhoeae_23S	Pasteurella_multocida_16S	ROB_-	Staphylococcus_aureus_23S	Streptococcus_pneumoniae_23S	TEM_-	blaZ	catII	farA	hmrM	rrsB+	sul2	tet_B_
DRX014156	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
DRX014157	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
DRX014158	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
DRX014159	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False
DRX014160	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
DRX014161	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
DRX014253	False	False	False	True	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
DRX014438	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
DRX225218	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
DRX233551	False	False	False	True	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101202	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False
ERX101203	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101204	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101205	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101206	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101207	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101208	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101209	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101210	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101211	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101212	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101213	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101214	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101215	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101216	True	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False	True	False	False	True
ERX101217	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101218	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101219	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101220	False	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False
ERX101221	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101222	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101223	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101224	False	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False
ERX101225	False	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False
ERX101226	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101227	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101228	False	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False
ERX101229	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False
ERX101230	False	False	False	True	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101231	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False
ERX101232	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101233	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
ERX101234	False	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False
