query	reference	ani	mapped_fragments	total_fragments
GA81666_reference	GA81666	100	620	624
GA83431	GA81666	99.9996	607	608
GA83842A	GA81666	99.9996	605	616
GA87424	GA81666	99.9996	604	605
GA91506	GA81666	99.9995	606	607
GA83882	GA81666	99.9994	606	607
GA87639	GA81666	99.9994	606	607
GA87697	GA81666	99.9994	607	608
GA91113	GA81666	99.9994	609	610
GA87620	GA81666	99.9993	607	608
GA87363	GA81666	99.999	607	608
GA91241	GA81666	99.9982	607	618
GA83447	GA81666	99.9976	604	604
GA83349	GA81666	99.9971	608	608
GA81666	GA81666	99.996	605	605
GA83571	GA81666	99.9958	608	608
GA83842B	GA81666	99.9957	607	617
GA87003	GA81666	99.9956	607	607
GA81665	GA81666	99.9947	607	607
GA83705	GA81666	99.9947	607	607
GA87176	GA81666	99.9933	608	608
GA87262	GA81666	99.9932	606	606
GA60748	GA81666	99.9906	609	609
GA83348	GA81666	99.9896	600	600
GA95071	GA81666	99.9289	608	620
GA83706	GA81666	99.7957	601	650
ERX2579069	GA81666	99.789	578	579
ERX3434760	GA81666	99.7137	589	591
ERX3435712	GA81666	99.7081	594	595
ERX3448842	GA81666	99.6881	566	567
ERX3970908	GA81666	99.6845	566	567
ERX3435790	GA81666	99.6839	567	568
ERX3970853	GA81666	99.6823	567	568
ERX3448733	GA81666	99.6819	567	568
GA83469	GA81666	99.5836	584	605
ERX2804027	GA81666	99.4794	583	586
ERX3434263	GA81666	99.043	582	586
ERX3435048	GA81666	99.033	561	564
ERX3914175	GA81666	99.0002	573	584
ERX3435156	GA81666	98.9917	577	587
ERX3435157	GA81666	98.9881	575	585
ERX3435158	GA81666	98.9844	576	586
ERX3462226	GA81666	98.9829	574	584
ERX3434767	GA81666	98.9668	580	596
ERX3434191	GA81666	98.961	550	562
ERX3435081	GA81666	98.9529	577	587
ERX3435811	GA81666	98.9493	576	586
ERX3462333	GA81666	98.9463	553	564
ERX3435201	GA81666	98.9461	577	587
ERX3435063	GA81666	98.9455	577	588
ERX3434250	GA81666	98.945	583	597
ERX3434929	GA81666	98.9446	577	587
ERX3434863	GA81666	98.941	577	587
ERX3435724	GA81666	98.9395	551	562
ERX3435572	GA81666	98.9342	574	584
ERX3434991	GA81666	98.9234	577	586
ERX3434948	GA81666	98.9186	577	586
ERX3434836	GA81666	98.9024	574	586
ERX3448912	GA81666	98.8895	553	563
ERX3435808	GA81666	98.8813	575	597
ERX3434759	GA81666	98.8803	552	561
ERX3434834	GA81666	98.8774	577	587
ERX3448798	GA81666	98.8639	574	583
ERX3462141	GA81666	98.8574	552	559
ERX3434891	GA81666	98.8074	575	584
ERX3434838	GA81666	98.576	577	591
ERX3434303	GA81666	98.5284	584	593
ERX3435785	GA81666	98.528	584	592
ERX3435631	GA81666	98.3403	566	586
GA71663	GA81666	98.3355	586	626
ERX3448737	GA81666	98.3336	541	557
ERX3434160	GA81666	98.3307	544	561
GA74349	GA81666	98.3251	584	624
ERX3462028	GA81666	98.3244	544	560
GA83874	GA81666	98.3224	580	609
ERX3434223	GA81666	98.321	567	585
ERX3434684	GA81666	98.3196	566	584
GA71389	GA81666	98.3191	583	625
ERX3434768	GA81666	98.3186	566	584
ERX3434096	GA81666	98.3175	545	562
ERX3434548	GA81666	98.3164	569	587
ERX3449027	GA81666	98.3163	567	586
GA81566	GA81666	98.3161	575	603
ERX3434401	GA81666	98.3142	567	586
ERX3434121	GA81666	98.3131	544	560
GA83357	GA81666	98.3112	582	612
ERX3434657	GA81666	98.3104	562	580
