gene_family	percent_all	percent_c1	percent_c2	percent_neither	info	product	c1_samples	c2_camples	neither_samples	clusters
g01643	97.96	96.15	100.00	0	both	glycerol kinase GlpK(48)	GA60748,GA81665,GA81666,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_01677,GA60748_01627,GA67073_01665,GA71389_01663,GA71621_01587,GA71663_01684,GA74349_01663,GA76006_01571,GA78317_01587,GA78869_01642,GA79872_01529,GA81213_01525,GA81566_01112,GA81665_01514,GA81666_01561,GA83349_01585,GA83357_01617,GA83431_01639,GA83447_01374,GA83469_01357,GA83571_01560,GA83705_01514,GA83706_01272,GA83841_01523,GA83842A_01529,GA83842B_01474,GA83874_01283,GA83882_01533,GA87003_01473,GA87176_01576,GA87262_01557,GA87363_01587,GA87364_01455,GA87424_01471,GA87536_01566,GA87620_01637,GA87639_01563,GA87640_01597,GA87672_01622,GA87697_01555,GA87801_01593,GA87875_01526,GA91113_01629,GA91241_01514,GA91506_01555,GA91534_01445,GA91536_01442,GA95071_01419
g01706	97.96	96.15	100.00	0	both	aquaporin(48)	GA60748,GA81665,GA81666,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_01676,GA60748_01628,GA67073_01664,GA71389_01662,GA71621_01586,GA71663_01683,GA74349_01662,GA76006_01570,GA78317_01586,GA78869_01641,GA79872_01528,GA81213_01524,GA81566_01111,GA81665_01513,GA81666_01560,GA83349_01584,GA83357_01616,GA83431_01638,GA83447_01373,GA83469_01358,GA83571_01559,GA83705_01513,GA83706_01271,GA83841_01522,GA83842A_01528,GA83842B_01475,GA83874_01282,GA83882_01532,GA87003_01474,GA87176_01577,GA87262_01556,GA87363_01586,GA87364_01454,GA87424_01470,GA87536_01565,GA87620_01636,GA87639_01562,GA87640_01596,GA87672_01621,GA87697_01554,GA87801_01592,GA87875_01525,GA91113_01630,GA91241_01515,GA91506_01554,GA91534_01444,GA91536_01441,GA95071_01420
g01379_1	97.96	96.15	100.00	0	both	glycerophosphodiester phosphodiesterase(48)	GA60748,GA81665,GA81666,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_01675,GA60748_01629,GA67073_01663,GA71389_01661,GA71621_01585,GA71663_01682,GA74349_01661,GA76006_01569,GA78317_01585,GA78869_01640,GA79872_01527,GA81213_01523,GA81566_01110,GA81665_01512,GA81666_01559,GA83349_01583,GA83357_01615,GA83431_01637,GA83447_01372,GA83469_01359,GA83571_01558,GA83705_01512,GA83706_01270,GA83841_01521,GA83842A_01527,GA83842B_01476,GA83874_01281,GA83882_01531,GA87003_01475,GA87176_01578,GA87262_01555,GA87363_01585,GA87364_01453,GA87424_01469,GA87536_01564,GA87620_01635,GA87639_01561,GA87640_01595,GA87672_01620,GA87697_01553,GA87801_01591,GA87875_01524,GA91113_01631,GA91241_01516,GA91506_01553,GA91534_01443,GA91536_01440,GA95071_01421
g01647	97.96	96.15	100.00	0	both	glycerol-3-phosphate transporter(48)	GA60748,GA81665,GA81666,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_01674,GA60748_01630,GA67073_01662,GA71389_01660,GA71621_01584,GA71663_01681,GA74349_01660,GA76006_01568,GA78317_01584,GA78869_01639,GA79872_01526,GA81213_01522,GA81566_01109,GA81665_01511,GA81666_01558,GA83349_01582,GA83357_01614,GA83431_01636,GA83447_01371,GA83469_01360,GA83571_01557,GA83705_01511,GA83706_01269,GA83841_01520,GA83842A_01526,GA83842B_01477,GA83874_01280,GA83882_01530,GA87003_01476,GA87176_01579,GA87262_01554,GA87363_01584,GA87364_01452,GA87424_01468,GA87536_01563,GA87620_01634,GA87639_01560,GA87640_01594,GA87672_01619,GA87697_01552,GA87801_01590,GA87875_01523,GA91113_01632,GA91241_01517,GA91506_01552,GA91534_01442,GA91536_01439,GA95071_01422
g01635	97.96	96.15	100.00	0	both	anaerobic glycerol-3-phosphate dehydrogenase subunit A(48)	GA60748,GA81665,GA81666,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_01673,GA60748_01631,GA67073_01661,GA71389_01659,GA71621_01583,GA71663_01680,GA74349_01659,GA76006_01567,GA78317_01583,GA78869_01638,GA79872_01525,GA81213_01521,GA81566_01108,GA81665_01510,GA81666_01557,GA83349_01581,GA83357_01613,GA83431_01635,GA83447_01370,GA83469_01361,GA83571_01556,GA83705_01510,GA83706_01268,GA83841_01519,GA83842A_01525,GA83842B_01478,GA83874_01279,GA83882_01529,GA87003_01477,GA87176_01580,GA87262_01553,GA87363_01583,GA87364_01451,GA87424_01467,GA87536_01562,GA87620_01633,GA87639_01559,GA87640_01593,GA87672_01618,GA87697_01551,GA87801_01589,GA87875_01522,GA91113_01633,GA91241_01518,GA91506_01551,GA91534_01441,GA91536_01438,GA95071_01423
g01655	97.96	96.15	100.00	0	both	glycerol-3-phosphate dehydrogenase subunit GlpB(48)	GA60748,GA81665,GA81666,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_01672,GA60748_01632,GA67073_01660,GA71389_01658,GA71621_01582,GA71663_01679,GA74349_01658,GA76006_01566,GA78317_01582,GA78869_01637,GA79872_01524,GA81213_01520,GA81566_01107,GA81665_01509,GA81666_01556,GA83349_01580,GA83357_01612,GA83431_01634,GA83447_01369,GA83469_01362,GA83571_01555,GA83705_01509,GA83706_01267,GA83841_01518,GA83842A_01524,GA83842B_01479,GA83874_01278,GA83882_01528,GA87003_01478,GA87176_01581,GA87262_01552,GA87363_01582,GA87364_01450,GA87424_01466,GA87536_01561,GA87620_01632,GA87639_01558,GA87640_01592,GA87672_01617,GA87697_01550,GA87801_01588,GA87875_01521,GA91113_01634,GA91241_01519,GA91506_01550,GA91534_01440,GA91536_01437,GA95071_01424
g01355	97.96	96.15	100.00	0	both	anaerobic glycerol-3-phosphate dehydrogenase subunit C(48)	GA60748,GA81665,GA81666,GA83349,GA83431,GA83447,GA83469,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_01671,GA60748_01633,GA67073_01659,GA71389_01657,GA71621_01581,GA71663_01678,GA74349_01657,GA76006_01565,GA78317_01581,GA78869_01636,GA79872_01523,GA81213_01519,GA81566_01106,GA81665_01508,GA81666_01555,GA83349_01579,GA83357_01611,GA83431_01633,GA83447_01368,GA83469_01363,GA83571_01554,GA83705_01508,GA83706_01266,GA83841_01517,GA83842A_01523,GA83842B_01480,GA83874_01277,GA83882_01527,GA87003_01479,GA87176_01582,GA87262_01551,GA87363_01581,GA87364_01449,GA87424_01465,GA87536_01560,GA87620_01631,GA87639_01557,GA87640_01591,GA87672_01616,GA87697_01549,GA87801_01587,GA87875_01520,GA91113_01635,GA91241_01520,GA91506_01549,GA91534_01439,GA91536_01436,GA95071_01425
g01898	97.96	96.15	100.00	0	both	hypothetical protein(48)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_01562,GA60748_00062,GA67073_01196,GA71389_01449,GA71621_01374,GA71663_01373,GA74349_01352,GA76006_01254,GA78317_00423,GA78869_01468,GA79872_01605,GA81213_01601,GA81566_01423,GA81665_00062,GA81666_00062,GA83348_00062,GA83349_01024,GA83357_01576,GA83431_01091,GA83447_00966,GA83571_00062,GA83705_00062,GA83706_01911,GA83841_01612,GA83842A_01061,GA83842B_00062,GA83874_01586,GA83882_01055,GA87003_00062,GA87176_00062,GA87262_00062,GA87363_01016,GA87364_01666,GA87424_01255,GA87536_00231,GA87620_01089,GA87639_01086,GA87640_01556,GA87672_00423,GA87697_00063,GA87801_00422,GA87875_01215,GA91113_01070,GA91241_00955,GA91506_01090,GA91534_01598,GA91536_01567,GA95071_01822
g01575	97.96	96.15	100.00	0	both	hypothetical protein(48)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_01563,GA60748_00063,GA67073_01195,GA71389_01450,GA71621_01375,GA71663_01374,GA74349_01353,GA76006_01255,GA78317_00424,GA78869_01469,GA79872_01606,GA81213_01602,GA81566_01424,GA81665_00063,GA81666_00063,GA83348_00063,GA83349_01025,GA83357_01577,GA83431_01092,GA83447_00967,GA83571_00063,GA83705_00063,GA83706_01912,GA83841_01613,GA83842A_01062,GA83842B_00063,GA83874_01587,GA83882_01056,GA87003_00063,GA87176_00063,GA87262_00063,GA87363_01017,GA87364_01667,GA87424_01256,GA87536_00232,GA87620_01090,GA87639_01087,GA87640_01557,GA87672_00424,GA87697_00064,GA87801_00423,GA87875_01216,GA91113_01071,GA91241_00956,GA91506_01091,GA91534_01599,GA91536_01568,GA95071_01823
g01559	97.96	96.15	100.00	0	both	type II toxin-antitoxin system RelE/ParE family toxin(34):shikimate 5-dehydrogenase(14)	GA60748,GA81665,GA81666,GA83348,GA83349,GA83431,GA83447,GA83571,GA83705,GA83706,GA83842A,GA83842B,GA83882,GA87003,GA87176,GA87262,GA87363,GA87424,GA87620,GA87639,GA87697,GA91113,GA91241,GA91506,GA95071	GA54827,GA67073,GA71389,GA71621,GA71663,GA74349,GA76006,GA78317,GA78869,GA79872,GA81213,GA81566,GA83357,GA83841,GA83874,GA87364,GA87536,GA87640,GA87672,GA87801,GA87875,GA91534,GA91536		GA54827_01766,GA60748_01653,GA67073_01727,GA71389_01757,GA71621_01649,GA71663_01746,GA74349_01752,GA76006_01715,GA78317_01608,GA78869_01612,GA79872_01500,GA81213_01657,GA81566_01083,GA81665_01488,GA81666_01724,GA83348_01680,GA83349_01559,GA83357_01649,GA83431_01613,GA83447_01348,GA83571_01534,GA83705_01488,GA83706_01847,GA83841_01731,GA83842A_01503,GA83842B_01500,GA83874_01252,GA83882_01507,GA87003_01499,GA87176_01602,GA87262_01531,GA87363_01561,GA87364_01426,GA87424_01445,GA87536_01661,GA87620_01611,GA87639_01537,GA87640_01618,GA87672_01688,GA87697_01529,GA87801_01614,GA87875_01497,GA91113_01655,GA91241_01540,GA91506_01529,GA91534_01416,GA91536_01660,GA95071_01445
