gene_family	percent_all	percent_c1	percent_c2	percent_neither	info	product
g01643	97.96	96.15	100.00	0	both	glycerol kinase GlpK(48)
g01706	97.96	96.15	100.00	0	both	aquaporin(48)
g01379_1	97.96	96.15	100.00	0	both	glycerophosphodiester phosphodiesterase(48)
g01647	97.96	96.15	100.00	0	both	glycerol-3-phosphate transporter(48)
g01635	97.96	96.15	100.00	0	both	anaerobic glycerol-3-phosphate dehydrogenase subunit A(48)
g01655	97.96	96.15	100.00	0	both	glycerol-3-phosphate dehydrogenase subunit GlpB(48)
g01355	97.96	96.15	100.00	0	both	anaerobic glycerol-3-phosphate dehydrogenase subunit C(48)
g01898	97.96	96.15	100.00	0	both	hypothetical protein(48)
g01575	97.96	96.15	100.00	0	both	hypothetical protein(48)
g01559	97.96	96.15	100.00	0	both	type II toxin-antitoxin system RelE/ParE family toxin(34):shikimate 5-dehydrogenase(14)
g01580	97.96	96.15	100.00	0	both	helix-turn-helix transcriptional regulator(48)
g01642	97.96	96.15	100.00	0	both	ribosome biogenesis GTPase Der(48)
g01595	97.96	96.15	100.00	0	both	hypothetical protein(48)
g01265	97.96	96.15	100.00	0	both	shikimate dehydrogenase(48)
g01205_1	97.96	96.15	100.00	0	both	HNH endonuclease(44):KilA-N domain-containing protein(5)
g01599_1	97.96	100.00	95.65	0	both	hypothetical protein(48)
g01755	97.96	96.15	100.00	0	both	flavodoxin FldA(48)
g01227_2	97.96	100.00	95.65	0	both	NTP transferase domain-containing protein(48)
g01209_1	97.96	96.15	100.00	0	both	phage tail protein(25):tail fiber protein(24)
g01289	97.96	96.15	100.00	0	both	succinate dehydrogenase assembly factor 2(48)
g01407	97.96	100.00	95.65	0	both	glycosyltransferase family 8 protein(48)
g01439_1	97.96	100.00	95.65	0	both	phosphorylcholine transferase LicD(48)
g01436	95.92	100.00	91.30	0	both	glucosamine-6-phosphate deaminase(47)
g01222_1	93.88	88.46	100.00	0	both	choline transport protein LicB(46)
g01222_2	91.84	88.46	95.65	0	both	choline transport protein LicB(23):DMT family transporter(22)
g01857	87.76	100.00	73.91	0	both	hypothetical protein(43)
g01234	83.67	100.00	65.22	0	both	YadA-like family protein(41)
g01718	83.67	100.00	65.22	0	both	site-specific DNA-methyltransferase(41)
g01893	81.63	96.15	65.22	0	both	hypothetical protein(40)
g01717	81.63	96.15	65.22	0	both	hypothetical protein(40)
g01693	81.63	96.15	65.22	0	both	hypothetical protein(40)
g01904	81.63	96.15	65.22	0	both	hypothetical protein(40)
g01823	79.59	96.15	60.87	0	both	hypothetical protein(39)
g01560	69.39	100.00	34.78	0	both	hypothetical protein(34)
g01209_2	69.39	100.00	34.78	0	both	tail fiber protein(34)
g01271	69.39	100.00	34.78	0	both	hypothetical protein(36)
g01605	69.39	100.00	34.78	0	both	AlpA family phage regulatory protein(34)
g01247	67.35	96.15	34.78	0	both	PBSX family phage terminase large subunit(34)
g01653	67.35	96.15	34.78	0	both	hypothetical protein(33)
g01660	67.35	96.15	34.78	0	both	minor capsid protein(33)
g01674	67.35	96.15	34.78	0	both	hypothetical protein(33)
g01790	67.35	96.15	34.78	0	both	hypothetical protein(33)
g01687	67.35	96.15	34.78	0	both	hypothetical protein(33)
