Node	Beg	End
GA54827	996907	996909
GA54827	1159434	1159587
GA67073	176247	177435
GA67073	178419	178500
GA67073	335179	335211
GA71621	996855	996869
GA71621	1319910	1324607
GA71621	1325442	1327227
GA76006	923776	923778
GA79872	1035315	1037709
GA81566	1275322	1275332
GA81566	1578301	1578322
GA83357	996907	996909
GA83841	75186	77508
GA83841	253762	253926
GA83841	602979	603505
GA83841	603902	604434
GA83841	604693	604752
GA83841	605375	606037
GA83841	606337	606669
GA83841	607383	607605
GA83841	608561	609717
GA83841	610621	610654
GA83841	916866	918516
GA83841	918756	919854
GA83841	1280347	1280484
GA83841	1284132	1284314
GA83841	1323246	1323279
GA83841	1323549	1323771
GA83841	1324123	1324332
GA83841	1325454	1325544
GA83841	1325941	1326852
GA83841	1492632	1492713
GA83841	1550421	1550721
GA83874	124876	127446
GA83874	1314652	1314936
GA83874	1322991	1324296
GA83874	1324696	1327725
GA83874	1328041	1328307
GA87672	1604180	1604193
GA87875	267972	269361
GA87875	269694	271896
NODE_24	996907	996909
NODE_24	1581045	1581109
NODE_30	617571	617817
NODE_30	618690	621811
NODE_30	1216588	1217622
NODE_30	1218432	1219217
NODE_30	1220830	1221127
NODE_30	1578307	1578315
NODE_31	681289	681624
NODE_33	996919	996921
NODE_36	854266	854788
NODE_36	855036	855264
NODE_36	855699	856353
NODE_36	856930	857353
NODE_36	857896	858318
NODE_36	859188	859275
NODE_36	996855	996869
NODE_36	1020003	1020027
NODE_36	1193169	1193201
NODE_36	1221294	1221522
NODE_36	1222506	1222747
NODE_36	1319238	1319616
NODE_36	1319889	1320063
NODE_36	1323036	1324470
NODE_36	1325442	1327770
NODE_36	1328409	1328729
NODE_36	1335514	1336779
NODE_36	1454146	1454157
NODE_36	1546596	1546856
NODE_36	1549773	1550712
NODE_37	1	162
NODE_37	124704	124876
NODE_37	125536	126069
NODE_37	127446	127577
NODE_37	127860	129552
NODE_37	575337	575356
NODE_37	575681	575805
NODE_37	579051	579215
NODE_37	579618	579673
NODE_37	580335	580359
NODE_37	915303	915984
NODE_37	937134	937415
NODE_37	937650	937869
NODE_37	938748	941547
NODE_37	941808	942415
NODE_37	996847	996849
NODE_37	1054089	1054626
NODE_37	1055675	1055745
NODE_37	1057996	1058006
NODE_37	1324729	1325425
NODE_37	1325671	1325674
NODE_37	1325925	1326215
NODE_37	1326442	1326520
NODE_37	1326754	1326756
NODE_37	1352583	1353678
NODE_37	1354038	1354137
NODE_37	1354506	1354515
NODE_37	1354860	1355163
NODE_37	1355400	1355553
NODE_37	1356381	1358179
NODE_37	1358781	1358907
NODE_37	1525743	1525752
NODE_37	1540164	1540650
NODE_37	1540920	1541130
NODE_37	1550421	1550783
NODE_37	1552725	1552881
NODE_37	1553184	1554030
NODE_37	1554267	1555971
NODE_37	1561902	1562418
NODE_37	1564105	1564461
NODE_37	1568069	1568661
NODE_37	1588869	1588980
NODE_37	1589320	1590140
NODE_37	1590388	1590891
NODE_37	1592838	1592972
NODE_37	1593834	1595715
NODE_37	1604171	1604180
NODE_38	1323684	1324329
NODE_38	1325451	1325577
NODE_38	1325850	1326825
NODE_42	384112	384167
NODE_42	996895	996897
NODE_42	1591975	1592508
