Node	Beg	End
GA54827	403324	403326
GA54827	634203	634356
GA67073	1018342	1018380
GA67073	1174056	1176495
GA71621	403308	403322
GA71621	1418004	1422701
GA71621	1423576	1425318
GA78317	403336	403338
GA79872	439839	442233
GA83469	808941	809772
GA83571	403320	403334
GA83571	1422772	1422777
GA83706	403288	403289
GA83706	1067339	1067344
GA83841	9819	10567
GA83841	10964	13881
GA83841	14445	16779
GA83841	17683	17716
GA83841	323196	326184
GA83841	403264	403266
GA83841	750546	753120
GA83841	975187	975351
GA83841	1354047	1354371
GA83841	1423536	1425276
GA83874	403336	403338
GA83874	800491	803064
GA83874	1421085	1425816
GA83874	1453477	1453761
GA83874	1539673	1539939
GA87639	1422772	1422892
GA87672	1548179	1548192
GA87875	955605	955641
GA87875	957099	959557
GA87875	960678	961725
GA91241	317042	317043
GA91506	1481877	1481886
GA95071	543976	543989
GA95071	725712	726852
GA95071	727383	728508
GA95071	1177093	1180635
GA95071	1183995	1189101
GA95071	1190154	1190475
GA95071	1212937	1212941
NODE_50	403336	403346
NODE_50	543976	543989
NODE_51	203663	203880
NODE_51	1018342	1018380
NODE_54	403336	403346
NODE_55	403332	403335
NODE_55	543976	543989
NODE_57	403348	403350
NODE_59	1067339	1067344
NODE_68	403336	403338
NODE_71	725721	727539
NODE_71	728370	728421
NODE_72	201768	202608
NODE_72	202990	203627
NODE_72	318813	319611
NODE_72	320136	322272
NODE_72	403308	403322
NODE_72	425832	426477
NODE_72	427824	428127
NODE_72	429196	430143
NODE_72	431661	434058
NODE_72	435408	436656
NODE_72	437094	438805
NODE_72	439491	446592
NODE_72	447819	448487
NODE_72	449055	451988
NODE_72	454365	454504
NODE_72	726978	727149
NODE_72	728766	729817
NODE_72	730476	730662
NODE_72	755966	756240
NODE_72	758004	758034
NODE_72	758517	759057
NODE_72	798651	799686
NODE_72	800091	801476
NODE_72	802038	802728
NODE_72	809803	813726
NODE_72	814839	815592
NODE_72	856563	856738
NODE_72	858909	859137
NODE_72	861436	862938
NODE_72	956884	958678
NODE_72	959790	961800
NODE_72	962175	963132
NODE_72	964119	964562
NODE_72	1019907	1020897
NODE_72	1022212	1023490
NODE_72	1024353	1024587
NODE_72	1025241	1025535
NODE_72	1026378	1028958
NODE_72	1029875	1031013
NODE_72	1031352	1032354
NODE_72	1032741	1034397
NODE_72	1034895	1036527
NODE_72	1037544	1037752
NODE_72	1128813	1129050
NODE_72	1130205	1130862
NODE_72	1131198	1131225
NODE_72	1131568	1131714
NODE_72	1132602	1133388
NODE_72	1164244	1164574
NODE_72	1164909	1166085
NODE_72	1166970	1168461
NODE_72	1205184	1212498
