sample	estimated_genome_size	is_paired	original_total_bp	original_coverage	original_read_total	original_read_min	original_read_mean	original_read_std	original_read_median	original_read_max	original_read_25th	original_read_75th	original_qual_min	original_qual_mean	original_qual_std	original_qual_max	original_qual_median	original_qual_25th	original_qual_75th	final_total_bp	final_coverage	final_read_total	final_read_min	final_read_mean	final_read_std	final_read_median	final_read_max	final_read_25th	final_read_75th	final_qual_min	final_qual_mean	final_qual_std	final_qual_max	final_qual_median	final_qual_25th	final_qual_75th	contig_non_acgtn	contig_percent_a	contig_percent_c	contig_percent_g	contig_percent_n	contig_percent_t	contigs_greater_100k	contigs_greater_10k	contigs_greater_1k	contigs_greater_1m	l50_contig_count	max_contig_length	mean_contig_length	median_contig_length	min_contig_length	n50_contig_length	num_contig_non_acgtn	percent_contigs_greater_100k	percent_contigs_greater_10k	percent_contigs_greater_1k	percent_contigs_greater_1m	total_contig	total_contig_length	annotation_organism	annotation_contigs	annotation_bases	annotation_CDS	annotation_gene	annotation_rRNA	annotation_tRNA	annotation_tmRNA	rank	reason	annotation_repeat_region
DRX014156	1860196	True	1824542800	980.834	18245428	100	100	0	100	100	100	100	2	36.423	3.248	40	37	36	38	186019741	100.000	1928056	35	96.480	10.856	100	100	100	100	18.500	36.830	2.151	40	37	37	38	0.00	31.09	19.15	18.82	0.00	30.94	6	15	20	0	3	577621	89216	37939	1816	186161	0	30.00	75.00	100.00	0.00	20	1784339	Haemophilus influenzae strain	20	1784339	1683	1735	3	48	1	gold	passed all cutoffs	
DRX014157	1860196	True	4390232400	2360.100	43902324	100	100	0.000	100	100	100	100	2	36.488	3.225	40	37	36	38	186019566	100.000	1910526	35	97.366	9.392	100	100	100	100	18	36.848	2.150	40	37	37	38	0.00	31.24	19.14	18.75	0.00	30.88	6	21	29	0	4	283043	52777	24740	669	174208	0	17.65	61.76	85.29	0.00	34	1794446	Haemophilus influenzae strain	34	1794446	1705	1757	3	48	1	gold	passed all cutoffs	
DRX014158	1860196	True	3888670600	2090.460	38886706	100	100	0.000	100	100	100	100	2	36.569	3.160	40	37	37	38	186019640	100.000	1927904	35	96.488	11.022	100	100	100	100	17.500	36.949	2.114	40	37.500	37	38	0.00	31.26	19.11	18.79	0.00	30.84	5	23	39	0	3	560113	45535	19661	583	179521	0	12.50	57.50	97.50	0.00	40	1821404	Haemophilus influenzae strain	40	1821404	1735	1786	3	47	1	gold	passed all cutoffs	
DRX014159	1860196	True	2764007400	1485.868	27640074	100	100	0	100	100	100	100	2	36.529	3.180	40	37	36.500	38	186019680	100.000	1920100	35	96.880	10.298	100	100	100	100	17	36.902	2.116	40	37	37	38	0.00	30.78	18.58	19.30	0.00	31.34	6	24	32	0	4	318142	53875	24370	510	161770	0	18.18	72.73	96.97	0.00	33	1777887	Haemophilus influenzae strain	33	1777887	1671	1728	4	52	1	gold	passed all cutoffs	
DRX014160	1860196	True	4129863400	2220.120	41298634	100	100	0.000	100	100	100	100	2	36.484	3.251	40	37	36	38	186019590	100.000	1909874	35	97.399	9.406	100	100	100	100	18.500	36.853	2.153	40	37	37	38	0.00	30.87	18.93	19.12	0.00	31.08	6	26	35	0	6	323332	48590	27836	509	104398	0	15.79	68.42	92.11	0.00	38	1846455	Haemophilus influenzae strain	38	1846455	1770	1823	4	48	1	gold	passed all cutoffs	
DRX014161	1860196	True	4290634000	2306.540	42906340	100	100	0	100	100	100	100	2	36.479	3.253	40	37	36	38	186019587	100.000	1912702	35	97.255	9.656	100	100	100	100	18.500	36.852	2.156	40	37	37	38	0.00	31.04	19.04	18.88	0.00	31.04	7	15	20	0	4	423347	90081	48116	1047	184448	0	35.00	75.00	100.00	0.00	20	1801628	Haemophilus influenzae strain	20	1801628	1693	1746	4	48	1	gold	passed all cutoffs	1
DRX014253	1860196	True	2862567800	1538.852	28625678	100	100	0.000	100	100	100	100	5	36.686	2.727	40	37.500	37	38	186019575	100.000	1888030	35	98.526	7.305	100	100	100	100	11.500	36.777	2.600	40	37.500	37	38	0.00	31.29	19.42	18.47	0.00	30.82	6	22	25	0	6	195606	69215	54165	515	102117	0	23.08	84.62	96.15	0.00	26	1799593	Haemophilus influenzae strain	26	1799593	1697	1751	4	49	1	gold	passed all cutoffs	
DRX014438	1860196	True	3109776400	1671.746	31097764	100	100	0	100	100	100	100	4.500	36.144	3.374	40	37	36	38	186019778	100.000	1882950	35	98.792	6.649	100	100	100	100	13	36.267	3.126	40	37	36	38	0.00	31.09	19.15	18.82	0.00	30.94	6	14	20	0	3	403828	85000	26702	505	205256	0	28.57	66.67	95.24	0.00	21	1785015	Haemophilus influenzae strain	21	1785015	1684	1735	3	47	1	gold	passed all cutoffs	
DRX225218	1860196	True	202287101	108.745	1060876	32	190.680	89.100	186.500	301	111	299.500	2	35.906	2.527	37	37	36	37	186019258	100.000	984246	35	188.997	88.923	185	300	110	295	12	35.983	2.160	37	37	36	37	0.00	31.08	18.94	19.02	0.00	30.97	8	16	21	0	4	406826	86469	39881	4914	133793	0	38.10	76.19	100.00	0.00	21	1815855	Haemophilus influenzae strain	21	1815855	1750	1804	3	50	1	gold	passed all cutoffs	
DRX233551	1860196	True	271628882	146.022	1763822	35	154.000	10.440	156	156	155	156	2	36.713	2.358	38	37.500	36.500	38	186019463	100.000	1215886	35	152.990	10.499	155	155	155	155	15	36.731	2.270	38	37.500	36.500	38	0.00	30.94	18.75	19.14	0.00	31.17	8	19	24	0	4	301802	62763	25681	616	186426	0	28.57	67.86	85.71	0.00	28	1757387	Haemophilus influenzae strain	28	1757387	1657	1716	6	52	1	gold	passed all cutoffs	
ERX101202	1860196	True	329396008	177.076	4334158	76	76	0	76	76	76	76	3.500	37.447	3.729	40	39	37.500	39	186019572	100.000	2481308	35	74.968	0.701	75	75	75	75	10.500	37.659	3.087	40	39	38	39	0.00	30.74	18.92	19.12	0.00	31.21	3	42	57	0	10	252514	32748	19415	585	56402	0	5.17	72.41	98.28	0.00	58	1899407	Haemophilus influenzae strain	58	1899407	1854	1894	2	37	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101203	1860196	True	368447544	198.069	4847994	76	76	0	76	76	76	76	3.500	33.460	3.474	37	34.500	33	35	186019633	100.000	2481342	35	74.967	0.698	75	75	75	75	12.500	33.706	2.863	37	34.500	33	36	0.00	30.98	19.01	18.84	0.00	31.17	5	28	40	0	6	284470	33986	16226	589	91434	0	9.62	53.85	76.92	0.00	52	1767291	Haemophilus influenzae strain	52	1767291	1665	1709	3	40	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101204	1860196	True	342048184	183.878	4500634	76	76	0	76	76	76	76	3.500	37.437	3.720	40	39	37.500	39	186019653	100.000	2481278	35	74.969	0.688	75	75	75	75	10.500	37.644	3.102	40	39	38	39	0.00	30.98	19.02	18.80	0.00	31.20	5	28	38	0	5	343633	41039	23785	532	120517	0	11.63	65.12	88.37	0.00	43	1764682	Haemophilus influenzae strain	43	1764682	1654	1694	5	34	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101205	1860196	True	334896888	180.033	4406538	76	76	0	76	76	76	76	4	37.472	3.686	40	39	37.500	39	186019635	100.000	2481242	35	74.970	0.673	75	75	75	75	11	37.674	3.057	40	39	38	39	0.00	30.88	19.05	18.94	0.00	31.14	3	26	37	0	5	357901	46244	25855	775	99008	0	7.69	66.67	94.87	0.00	39	1803516	Haemophilus influenzae strain	39	1803516	1717	1764	4	42	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101206	1860196	True	321987528	173.093	4236678	76	76	0	76	76	76	76	4.500	37.451	3.719	40	39	37.500	39	186019597	100.000	2481270	35	74.970	0.677	75	75	75	75	11.500	37.666	3.072	40	39	38	39	0.00	31.08	19.04	19.01	0.00	30.86	3	34	47	0	8	179629	35417	24944	564	79251	0	5.77	65.38	90.38	0.00	52	1841731	Haemophilus influenzae strain	52	1841731	1759	1802	3	39	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101207	1860196	True	304668648	163.783	4008798	76	76	0	76	76	76	76	3	37.452	3.704	40	39	37.500	39	186019694	100.000	2481384	35	74.966	0.735	75	75	75	75	11	37.658	3.059	40	39	38	39	0.00	30.98	18.97	19.02	0.00	31.02	6	28	36	0	7	224253	44077	27310	582	86142	0	14.63	68.29	87.80	0.00	41	1807159	Haemophilus influenzae strain	41	1807159	1733	1777	4	39	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101208	1860196	True	312436608	167.959	4111008	76	76	0	76	76	76	76	5	37.425	3.744	40	39	37.500	39	186019587	100.000	2481298	35	74.969	0.699	75	75	75	75	11	37.634	3.112	40	39	38	39	0.00	31.03	19.09	18.86	0.00	31.02	7	26	33	0	5	319142	50999	24768	650	127630	0	20.00	74.29	94.29	0.00	35	1784999	Haemophilus influenzae strain	35	1784999	1693	1732	2	36	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101209	1860196	True	314348920	168.987	4136170	76	76	0	76	76	76	76	4	37.431	3.720	40	39	37.500	39	186019601	100.000	2481328	35	74.968	0.709	75	75	75	75	11	37.640	3.091	40	39	38	39	0.00	30.99	19.24	19.01	0.00	30.76	4	42	62	0	12	128598	28314	17614	524	53357	0	5.71	60.00	88.57	0.00	70	1981988	Haemophilus influenzae strain	70	1981988	1956	1995	3	35	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101210	1860196	True	319937504	171.991	4209704	76	76	0	76	76	76	76	3	33.408	3.449	37	34	32.500	35	186019543	100.000	2481340	35	74.967	0.701	75	75	75	75	11.500	33.631	2.900	37	34.500	33	35	0.00	30.74	19.15	18.90	0.00	31.21	6	29	41	0	7	178119	44884	26816	1502	99774	0	14.63	70.73	100.00	0.00	41	1840261	Haemophilus influenzae strain	41	1840261	1770	1813	3	39	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
ERX101211	1860196	True	274263176	147.438	3608726	76	76	0	76	76	76	76	5	37.491	3.659	40	39	38	39	186019587	100.000	2481318	35	74.968	0.702	75	75	75	75	10.500	37.693	3.027	40	39	38	39	0.00	31.05	19.18	18.83	0.00	30.94	5	24	34	0	5	368032	49789	29637	568	127296	0	13.51	64.86	91.89	0.00	37	1842211	Haemophilus influenzae strain	37	1842211	1791	1835	3	40	1	bronze	Short read length (74.97bp, expect >= 75 bp)	
