	GA60748	GA81665	GA81666	GA83348	GA83349	GA83431	GA83447	GA83469	GA83571	GA83705	GA83706	GA83842A	GA83842B	GA83882	GA87003	GA87176	GA87262	GA87363	GA87424	GA87620	GA87639	GA87697	GA91113	GA91241	GA91506	GA95071
GA60748	0	10	9	10	9	9	9	76	9	9	66	10	10	10	10	10	12	12	10	11	12	11	13	12	10	14
GA81665	10	0	1	2	1	1	1	78	1	1	64	2	2	2	2	1	1	3	2	3	1	1	2	3	2	6
GA81666	9	1	0	1	0	0	0	78	0	0	64	1	1	1	1	0	0	2	1	2	0	0	1	2	1	5
GA83348	10	2	1	0	1	0	0	77	1	1	63	2	1	2	2	0	0	3	2	3	1	1	2	3	1	5
GA83349	9	1	0	1	0	0	0	78	0	0	64	1	1	1	1	0	0	2	1	2	0	0	1	2	1	5
GA83431	9	1	0	0	0	0	0	78	0	0	64	1	1	1	1	0	0	2	1	2	0	0	1	2	1	5
GA83447	9	1	0	0	0	0	0	78	0	0	64	1	1	1	1	0	0	2	1	2	0	0	1	2	1	5
GA83469	76	78	78	77	78	78	78	0	77	78	4	79	79	79	79	79	79	80	78	80	79	78	79	78	78	81
GA83571	9	1	0	1	0	0	0	77	0	0	63	1	1	1	1	0	0	2	1	2	0	0	1	2	1	5
GA83705	9	1	0	1	0	0	0	78	0	0	64	1	1	1	1	0	0	2	1	2	0	0	1	2	1	5
GA83706	66	64	64	63	64	64	64	4	63	64	0	65	65	65	65	65	67	67	64	66	67	66	68	66	64	67
GA83842A	10	2	1	2	1	1	1	79	1	1	65	0	0	2	0	1	1	3	2	3	1	1	2	3	2	6
GA83842B	10	2	1	1	1	1	1	79	1	1	65	0	0	2	0	1	1	3	2	3	1	1	2	3	2	6
GA83882	10	2	1	2	1	1	1	79	1	1	65	2	2	0	2	1	1	3	2	3	1	1	2	3	2	6
GA87003	10	2	1	2	1	1	1	79	1	1	65	0	0	2	0	1	1	3	2	3	1	1	2	3	2	6
GA87176	10	1	0	0	0	0	0	79	0	0	65	1	1	1	1	0	0	2	1	2	0	0	1	2	1	5
GA87262	12	1	0	0	0	0	0	79	0	0	67	1	1	1	1	0	0	2	1	2	0	0	1	2	1	5
GA87363	12	3	2	3	2	2	2	80	2	2	67	3	3	3	3	2	2	0	3	0	3	2	3	4	3	7
GA87424	10	2	1	2	1	1	1	78	1	1	64	2	2	2	2	1	1	3	0	3	1	1	2	3	2	6
GA87620	11	3	2	3	2	2	2	80	2	2	66	3	3	3	3	2	2	0	3	0	2	2	3	4	3	7
GA87639	12	1	0	1	0	0	0	79	0	0	67	1	1	1	1	0	0	3	1	2	0	0	2	3	1	5
GA87697	11	1	0	1	0	0	0	78	0	0	66	1	1	1	1	0	0	2	1	2	0	0	1	2	1	5
GA91113	13	2	1	2	1	1	1	79	1	1	68	2	2	2	2	1	1	3	2	3	2	1	0	3	2	6
GA91241	12	3	2	3	2	2	2	78	2	2	66	3	3	3	3	2	2	4	3	4	3	2	3	0	3	7
GA91506	10	2	1	1	1	1	1	78	1	1	64	2	2	2	2	1	1	3	2	3	1	1	2	3	0	6
GA95071	14	6	5	5	5	5	5	81	5	5	67	6	6	6	6	5	5	7	6	7	5	5	6	7	6	0
